CHAMP;ANNEE_1968_2019;MOIS2;JOUR;DECES
FE;1968;01;01;
FE;1968;01;02;
FE;1968;01;03;
FE;1968;01;04;
FE;1968;01;05;
FE;1968;01;06;
FE;1968;01;07;
FE;1968;01;08;
FE;1968;01;09;
FE;1968;01;10;
FE;1968;01;11;
FE;1968;01;12;
FE;1968;01;13;
FE;1968;01;14;
FE;1968;01;15;
FE;1968;01;16;
FE;1968;01;17;
FE;1968;01;18;
FE;1968;01;19;
FE;1968;01;20;
FE;1968;01;21;
FE;1968;01;22;
FE;1968;01;23;
FE;1968;01;24;
FE;1968;01;25;
FE;1968;01;26;
FE;1968;01;27;
FE;1968;01;28;
FE;1968;01;29;
FE;1968;01;30;
FE;1968;01;31;
FE;1968;01;MM;
FE;1968;02;01;
FE;1968;02;02;
FE;1968;02;03;
FE;1968;02;04;
FE;1968;02;05;
FE;1968;02;06;
FE;1968;02;07;
FE;1968;02;08;
FE;1968;02;09;
FE;1968;02;10;
FE;1968;02;11;
FE;1968;02;12;
FE;1968;02;13;
FE;1968;02;14;
FE;1968;02;15;
FE;1968;02;16;
FE;1968;02;17;
FE;1968;02;18;
FE;1968;02;19;
FE;1968;02;20;
FE;1968;02;21;
FE;1968;02;22;
FE;1968;02;23;
FE;1968;02;24;
FE;1968;02;25;
FE;1968;02;26;
FE;1968;02;27;
FE;1968;02;28;
FE;1968;02;29;
FE;1968;02;30;
FE;1968;02;31;
FE;1968;02;MM;
FE;1968;03;01;
FE;1968;03;02;
FE;1968;03;03;
FE;1968;03;04;
FE;1968;03;05;
FE;1968;03;06;
FE;1968;03;07;
FE;1968;03;08;
FE;1968;03;09;
FE;1968;03;10;
FE;1968;03;11;
FE;1968;03;12;
FE;1968;03;13;
FE;1968;03;14;
FE;1968;03;15;
FE;1968;03;16;
FE;1968;03;17;
FE;1968;03;18;
FE;1968;03;19;
FE;1968;03;20;
FE;1968;03;21;
FE;1968;03;22;
FE;1968;03;23;
FE;1968;03;24;
FE;1968;03;25;
FE;1968;03;26;
FE;1968;03;27;
FE;1968;03;28;
FE;1968;03;29;
FE;1968;03;30;
FE;1968;03;31;
FE;1968;03;MM;
FE;1968;04;01;
FE;1968;04;02;
FE;1968;04;03;
FE;1968;04;04;
FE;1968;04;05;
FE;1968;04;06;
FE;1968;04;07;
FE;1968;04;08;
FE;1968;04;09;
FE;1968;04;10;
FE;1968;04;11;
FE;1968;04;12;
FE;1968;04;13;
FE;1968;04;14;
FE;1968;04;15;
FE;1968;04;16;
FE;1968;04;17;
FE;1968;04;18;
FE;1968;04;19;
FE;1968;04;20;
FE;1968;04;21;
FE;1968;04;22;
FE;1968;04;23;
FE;1968;04;24;
FE;1968;04;25;
FE;1968;04;26;
FE;1968;04;27;
FE;1968;04;28;
FE;1968;04;29;
FE;1968;04;30;
FE;1968;04;31;
FE;1968;04;MM;
FE;1968;05;01;
FE;1968;05;02;
FE;1968;05;03;
FE;1968;05;04;
FE;1968;05;05;
FE;1968;05;06;
FE;1968;05;07;
FE;1968;05;08;
FE;1968;05;09;
FE;1968;05;10;
FE;1968;05;11;
FE;1968;05;12;
FE;1968;05;13;
FE;1968;05;14;
FE;1968;05;15;
FE;1968;05;16;
FE;1968;05;17;
FE;1968;05;18;
FE;1968;05;19;
FE;1968;05;20;
FE;1968;05;21;
FE;1968;05;22;
FE;1968;05;23;
FE;1968;05;24;
FE;1968;05;25;
FE;1968;05;26;
FE;1968;05;27;
FE;1968;05;28;
FE;1968;05;29;
FE;1968;05;30;
FE;1968;05;31;
FE;1968;05;MM;
FE;1968;06;01;
FE;1968;06;02;
FE;1968;06;03;
FE;1968;06;04;
FE;1968;06;05;
FE;1968;06;06;
FE;1968;06;07;
FE;1968;06;08;
FE;1968;06;09;
FE;1968;06;10;
FE;1968;06;11;
FE;1968;06;12;
FE;1968;06;13;
FE;1968;06;14;
FE;1968;06;15;
FE;1968;06;16;
FE;1968;06;17;
FE;1968;06;18;
FE;1968;06;19;
FE;1968;06;20;
FE;1968;06;21;
FE;1968;06;22;
FE;1968;06;23;
FE;1968;06;24;
FE;1968;06;25;
FE;1968;06;26;
FE;1968;06;27;
FE;1968;06;28;
FE;1968;06;29;
FE;1968;06;30;
FE;1968;06;31;
FE;1968;06;MM;
FE;1968;07;01;
FE;1968;07;02;
FE;1968;07;03;
FE;1968;07;04;
FE;1968;07;05;
FE;1968;07;06;
FE;1968;07;07;
FE;1968;07;08;
FE;1968;07;09;
FE;1968;07;10;
FE;1968;07;11;
FE;1968;07;12;
FE;1968;07;13;
FE;1968;07;14;
FE;1968;07;15;
FE;1968;07;16;
FE;1968;07;17;
FE;1968;07;18;
FE;1968;07;19;
FE;1968;07;20;
FE;1968;07;21;
FE;1968;07;22;
FE;1968;07;23;
FE;1968;07;24;
FE;1968;07;25;
FE;1968;07;26;
FE;1968;07;27;
FE;1968;07;28;
FE;1968;07;29;
FE;1968;07;30;
FE;1968;07;31;
FE;1968;07;MM;
FE;1968;08;01;
FE;1968;08;02;
FE;1968;08;03;
FE;1968;08;04;
FE;1968;08;05;
FE;1968;08;06;
FE;1968;08;07;
FE;1968;08;08;
FE;1968;08;09;
FE;1968;08;10;
FE;1968;08;11;
FE;1968;08;12;
FE;1968;08;13;
FE;1968;08;14;
FE;1968;08;15;
FE;1968;08;16;
FE;1968;08;17;
FE;1968;08;18;
FE;1968;08;19;
FE;1968;08;20;
FE;1968;08;21;
FE;1968;08;22;
FE;1968;08;23;
FE;1968;08;24;
FE;1968;08;25;
FE;1968;08;26;
FE;1968;08;27;
FE;1968;08;28;
FE;1968;08;29;
FE;1968;08;30;
FE;1968;08;31;
FE;1968;08;MM;
FE;1968;09;01;
FE;1968;09;02;
FE;1968;09;03;
FE;1968;09;04;
FE;1968;09;05;
FE;1968;09;06;
FE;1968;09;07;
FE;1968;09;08;
FE;1968;09;09;
FE;1968;09;10;
FE;1968;09;11;
FE;1968;09;12;
FE;1968;09;13;
FE;1968;09;14;
FE;1968;09;15;
FE;1968;09;16;
FE;1968;09;17;
FE;1968;09;18;
FE;1968;09;19;
FE;1968;09;20;
FE;1968;09;21;
FE;1968;09;22;
FE;1968;09;23;
FE;1968;09;24;
FE;1968;09;25;
FE;1968;09;26;
FE;1968;09;27;
FE;1968;09;28;
FE;1968;09;29;
FE;1968;09;30;
FE;1968;09;31;
FE;1968;09;MM;
FE;1968;10;01;
FE;1968;10;02;
FE;1968;10;03;
FE;1968;10;04;
FE;1968;10;05;
FE;1968;10;06;
FE;1968;10;07;
FE;1968;10;08;
FE;1968;10;09;
FE;1968;10;10;
FE;1968;10;11;
FE;1968;10;12;
FE;1968;10;13;
FE;1968;10;14;
FE;1968;10;15;
FE;1968;10;16;
FE;1968;10;17;
FE;1968;10;18;
FE;1968;10;19;
FE;1968;10;20;
FE;1968;10;21;
FE;1968;10;22;
FE;1968;10;23;
FE;1968;10;24;
FE;1968;10;25;
FE;1968;10;26;
FE;1968;10;27;
FE;1968;10;28;
FE;1968;10;29;
FE;1968;10;30;
FE;1968;10;31;
FE;1968;10;MM;
FE;1968;11;01;
FE;1968;11;02;
FE;1968;11;03;
FE;1968;11;04;
FE;1968;11;05;
FE;1968;11;06;
FE;1968;11;07;
FE;1968;11;08;
FE;1968;11;09;
FE;1968;11;10;
FE;1968;11;11;
FE;1968;11;12;
FE;1968;11;13;
FE;1968;11;14;
FE;1968;11;15;
FE;1968;11;16;
FE;1968;11;17;
FE;1968;11;18;
FE;1968;11;19;
FE;1968;11;20;
FE;1968;11;21;
FE;1968;11;22;
FE;1968;11;23;
FE;1968;11;24;
FE;1968;11;25;
FE;1968;11;26;
FE;1968;11;27;
FE;1968;11;28;
FE;1968;11;29;
FE;1968;11;30;
FE;1968;11;31;
FE;1968;11;MM;
FE;1968;12;01;
FE;1968;12;02;
FE;1968;12;03;
FE;1968;12;04;
FE;1968;12;05;
FE;1968;12;06;
FE;1968;12;07;
FE;1968;12;08;
FE;1968;12;09;
FE;1968;12;10;
FE;1968;12;11;
FE;1968;12;12;
FE;1968;12;13;
FE;1968;12;14;
FE;1968;12;15;
FE;1968;12;16;
FE;1968;12;17;
FE;1968;12;18;
FE;1968;12;19;
FE;1968;12;20;
FE;1968;12;21;
FE;1968;12;22;
FE;1968;12;23;
FE;1968;12;24;
FE;1968;12;25;
FE;1968;12;26;
FE;1968;12;27;
FE;1968;12;28;
FE;1968;12;29;
FE;1968;12;30;
FE;1968;12;31;
FE;1968;12;MM;
FE;1969;01;01;
FE;1969;01;02;
FE;1969;01;03;
FE;1969;01;04;
FE;1969;01;05;
FE;1969;01;06;
FE;1969;01;07;
FE;1969;01;08;
FE;1969;01;09;
FE;1969;01;10;
FE;1969;01;11;
FE;1969;01;12;
FE;1969;01;13;
FE;1969;01;14;
FE;1969;01;15;
FE;1969;01;16;
FE;1969;01;17;
FE;1969;01;18;
FE;1969;01;19;
FE;1969;01;20;
FE;1969;01;21;
FE;1969;01;22;
FE;1969;01;23;
FE;1969;01;24;
FE;1969;01;25;
FE;1969;01;26;
FE;1969;01;27;
FE;1969;01;28;
FE;1969;01;29;
FE;1969;01;30;
FE;1969;01;31;
FE;1969;01;MM;
FE;1969;02;01;
FE;1969;02;02;
FE;1969;02;03;
FE;1969;02;04;
FE;1969;02;05;
FE;1969;02;06;
FE;1969;02;07;
FE;1969;02;08;
FE;1969;02;09;
FE;1969;02;10;
FE;1969;02;11;
FE;1969;02;12;
FE;1969;02;13;
FE;1969;02;14;
FE;1969;02;15;
FE;1969;02;16;
FE;1969;02;17;
FE;1969;02;18;
FE;1969;02;19;
FE;1969;02;20;
FE;1969;02;21;
FE;1969;02;22;
FE;1969;02;23;
FE;1969;02;24;
FE;1969;02;25;
FE;1969;02;26;
FE;1969;02;27;
FE;1969;02;28;
FE;1969;02;29;
FE;1969;02;30;
FE;1969;02;31;
FE;1969;02;MM;
FE;1969;03;01;
FE;1969;03;02;
FE;1969;03;03;
FE;1969;03;04;
FE;1969;03;05;
FE;1969;03;06;
FE;1969;03;07;
FE;1969;03;08;
FE;1969;03;09;
FE;1969;03;10;
FE;1969;03;11;
FE;1969;03;12;
FE;1969;03;13;
FE;1969;03;14;
FE;1969;03;15;
FE;1969;03;16;
FE;1969;03;17;
FE;1969;03;18;
FE;1969;03;19;
FE;1969;03;20;
FE;1969;03;21;
FE;1969;03;22;
FE;1969;03;23;
FE;1969;03;24;
FE;1969;03;25;
FE;1969;03;26;
FE;1969;03;27;
FE;1969;03;28;
FE;1969;03;29;
FE;1969;03;30;
FE;1969;03;31;
FE;1969;03;MM;
FE;1969;04;01;
FE;1969;04;02;
FE;1969;04;03;
FE;1969;04;04;
FE;1969;04;05;
FE;1969;04;06;
FE;1969;04;07;
FE;1969;04;08;
FE;1969;04;09;
FE;1969;04;10;
FE;1969;04;11;
FE;1969;04;12;
FE;1969;04;13;
FE;1969;04;14;
FE;1969;04;15;
FE;1969;04;16;
FE;1969;04;17;
FE;1969;04;18;
FE;1969;04;19;
FE;1969;04;20;
FE;1969;04;21;
FE;1969;04;22;
FE;1969;04;23;
FE;1969;04;24;
FE;1969;04;25;
FE;1969;04;26;
FE;1969;04;27;
FE;1969;04;28;
FE;1969;04;29;
FE;1969;04;30;
FE;1969;04;31;
FE;1969;04;MM;
FE;1969;05;01;
FE;1969;05;02;
FE;1969;05;03;
FE;1969;05;04;
FE;1969;05;05;
FE;1969;05;06;
FE;1969;05;07;
FE;1969;05;08;
FE;1969;05;09;
FE;1969;05;10;
FE;1969;05;11;
FE;1969;05;12;
FE;1969;05;13;
FE;1969;05;14;
FE;1969;05;15;
FE;1969;05;16;
FE;1969;05;17;
FE;1969;05;18;
FE;1969;05;19;
FE;1969;05;20;
FE;1969;05;21;
FE;1969;05;22;
FE;1969;05;23;
FE;1969;05;24;
FE;1969;05;25;
FE;1969;05;26;
FE;1969;05;27;
FE;1969;05;28;
FE;1969;05;29;
FE;1969;05;30;
FE;1969;05;31;
FE;1969;05;MM;
FE;1969;06;01;
FE;1969;06;02;
FE;1969;06;03;
FE;1969;06;04;
FE;1969;06;05;
FE;1969;06;06;
FE;1969;06;07;
FE;1969;06;08;
FE;1969;06;09;
FE;1969;06;10;
FE;1969;06;11;
FE;1969;06;12;
FE;1969;06;13;
FE;1969;06;14;
FE;1969;06;15;
FE;1969;06;16;
FE;1969;06;17;
FE;1969;06;18;
FE;1969;06;19;
FE;1969;06;20;
FE;1969;06;21;
FE;1969;06;22;
FE;1969;06;23;
FE;1969;06;24;
FE;1969;06;25;
FE;1969;06;26;
FE;1969;06;27;
FE;1969;06;28;
FE;1969;06;29;
FE;1969;06;30;
FE;1969;06;31;
FE;1969;06;MM;
FE;1969;07;01;
FE;1969;07;02;
FE;1969;07;03;
FE;1969;07;04;
FE;1969;07;05;
FE;1969;07;06;
FE;1969;07;07;
FE;1969;07;08;
FE;1969;07;09;
FE;1969;07;10;
FE;1969;07;11;
FE;1969;07;12;
FE;1969;07;13;
FE;1969;07;14;
FE;1969;07;15;
FE;1969;07;16;
FE;1969;07;17;
FE;1969;07;18;
FE;1969;07;19;
FE;1969;07;20;
FE;1969;07;21;
FE;1969;07;22;
FE;1969;07;23;
FE;1969;07;24;
FE;1969;07;25;
FE;1969;07;26;
FE;1969;07;27;
FE;1969;07;28;
FE;1969;07;29;
FE;1969;07;30;
FE;1969;07;31;
FE;1969;07;MM;
FE;1969;08;01;
FE;1969;08;02;
FE;1969;08;03;
FE;1969;08;04;
FE;1969;08;05;
FE;1969;08;06;
FE;1969;08;07;
FE;1969;08;08;
FE;1969;08;09;
FE;1969;08;10;
FE;1969;08;11;
FE;1969;08;12;
FE;1969;08;13;
FE;1969;08;14;
FE;1969;08;15;
FE;1969;08;16;
FE;1969;08;17;
FE;1969;08;18;
FE;1969;08;19;
FE;1969;08;20;
FE;1969;08;21;
FE;1969;08;22;
FE;1969;08;23;
FE;1969;08;24;
FE;1969;08;25;
FE;1969;08;26;
FE;1969;08;27;
FE;1969;08;28;
FE;1969;08;29;
FE;1969;08;30;
FE;1969;08;31;
FE;1969;08;MM;
FE;1969;09;01;
FE;1969;09;02;
FE;1969;09;03;
FE;1969;09;04;
FE;1969;09;05;
FE;1969;09;06;
FE;1969;09;07;
FE;1969;09;08;
FE;1969;09;09;
FE;1969;09;10;
FE;1969;09;11;
FE;1969;09;12;
FE;1969;09;13;
FE;1969;09;14;
FE;1969;09;15;
FE;1969;09;16;
FE;1969;09;17;
FE;1969;09;18;
FE;1969;09;19;
FE;1969;09;20;
FE;1969;09;21;
FE;1969;09;22;
FE;1969;09;23;
FE;1969;09;24;
FE;1969;09;25;
FE;1969;09;26;
FE;1969;09;27;
FE;1969;09;28;
FE;1969;09;29;
FE;1969;09;30;
FE;1969;09;31;
FE;1969;09;MM;
FE;1969;10;01;
FE;1969;10;02;
FE;1969;10;03;
FE;1969;10;04;
FE;1969;10;05;
FE;1969;10;06;
FE;1969;10;07;
FE;1969;10;08;
FE;1969;10;09;
FE;1969;10;10;
FE;1969;10;11;
FE;1969;10;12;
FE;1969;10;13;
FE;1969;10;14;
FE;1969;10;15;
FE;1969;10;16;
FE;1969;10;17;
FE;1969;10;18;
FE;1969;10;19;
FE;1969;10;20;
FE;1969;10;21;
