date,total_cas_confirmes,total_deces_hopital,total_deces_ehpad,total_cas_confirmes_ehpad,total_cas_possibles_ehpad,patients_reanimation,patients_hospitalises,total_patients_gueris,nouveaux_patients_hospitalises,nouveaux_patients_reanimation
2020-03-02,191,3,NaN,,,NaN,NaN,NaN,NaN,NaN
2020-03-03,212,4,NaN,,,NaN,NaN,12,NaN,NaN
2020-03-04,285,4,NaN,,,15,NaN,NaN,NaN,NaN
2020-03-05,423,7,NaN,,,23,NaN,NaN,NaN,NaN
2020-03-06,613,9,NaN,,,39,NaN,NaN,NaN,NaN
2020-03-07,949,16,NaN,,,45,NaN,NaN,NaN,NaN
2020-03-08,1126,19,NaN,,,NaN,NaN,NaN,NaN,NaN
2020-03-09,1412,25,NaN,,,66,NaN,NaN,NaN,NaN
2020-03-10,1784,33,NaN,,,86,NaN,NaN,NaN,NaN
2020-03-11,2281,48,NaN,,,105,NaN,NaN,NaN,NaN
2020-03-12,2876,61,NaN,,,129,NaN,NaN,NaN,NaN
2020-03-13,3661,79,NaN,,,NaN,NaN,NaN,NaN,NaN
2020-03-14,4500,91,NaN,,,300,NaN,NaN,NaN,NaN
2020-03-15,5423,127,NaN,,,NaN,400,NaN,NaN,NaN
2020-03-16,6633,148,NaN,,,NaN,NaN,NaN,NaN,NaN
2020-03-17,7730,175,NaN,,,699,2579,602,NaN,NaN
2020-03-18,9134,264,NaN,,,931,3626,1000,,
2020-03-19,10995,372,NaN,,,1122,4461,1300,2229,438
2020-03-20,12612,450,NaN,,,1297,5226,1587,1256,242
2020-03-21,14459,562,NaN,,,1525,6172,1811,1540,298
2020-03-22,16689,674,NaN,,,1746,7240,2200,1534,309
2020-03-23,19856,860,NaN,,,2082,8675,2567,2053,448
2020-03-24,22302,1100,NaN,,,2516,10176,3281,2618,571
2020-03-25,25233,1331,NaN,,,2827,11539,3900,3166,607
2020-03-26,29155,1696,NaN,,,3375,13904,4948,3097,612
2020-03-27,32964,1995,NaN,,,3787,15732,5698,3059,608
2020-03-28,37575,2314,NaN,,,4273,17620,6624,3353,695
2020-03-29,40174,2606,NaN,,,4632,19354,7131,2685,543
2020-03-30,44550,3024,NaN,,,5107,21008,7924,3108,694
2020-03-31,52128,3523,NaN,,,5565,22757,9444,4146,767
2020-04-01,56989,4032,371,,,6017,24639,10935,4281,771
2020-04-02,59105,4503,884,,,6399,26246,12428,3845,728
2020-04-03,64338,5091,1416,,,6662,27432,14008,3627,640
2020-04-04,68605,5532,2028,,,6838,28143,15438,2822,502
2020-04-05,70478,5889,2189,,,6978,28891,16183,1931,390
2020-04-06,74390,6494,2417,,,7072,29722,17250,2754,478
2020-04-07,78167,7091,3237,,,7131,30027,19337,3277,518
2020-04-08,82048,7632,3237,,,7148,30375,21254,3139,482
2020-04-09,86334,8044,4166,,,7066,30767,23206,2990,369
2020-04-10,90676,8598,4599,,,7004,31267,24932,3161,431
2020-04-11,93790,8943,4889,,,6883,31320,26391,2044,255
2020-04-12,95403,9253,5140,11958,25230,6845,31826,27186,1688,220
2020-04-13,98076,9588,5379,12481,26222,6821,32113,27718,1257,227
2020-04-14,103573,10129,5600,13050,26680,6730,32292,28805,1965,275
2020-04-15,106206,10643,6524,14393,27264,6457,31779,30995,2415,284
